Supplier,CreatedOn,CompletedDate,Time_To_Complete,Total,Guid,SupplierCode,SupplierName
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-04-08,2018-04-19,11 days 02:56:41.992000000,3611.52,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-04-08,2018-04-19,10 days 22:27:32.781000000,146.54,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': 'f0433f30-c232-44cd-a2b6-690e334d461e', 'SupplierCode': 'Superior Hardwood Flooring', 'SupplierName': 'Superior Hardwood Flooring'}",2018-04-08,2018-04-10,2 days 04:43:46.357000000,48.2,f0433f30-c232-44cd-a2b6-690e334d461e,Superior Hardwood Flooring,Superior Hardwood Flooring
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-05-23,45 days 03:48:26.538000000,452.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 22:57:06.085000000,6182.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-05-02,23 days 10:20:11.044000000,5281.92,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-05-23,45 days 03:21:51.569000000,400.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '97358c1d-d9ff-4af3-8513-ce250880293d', 'SupplierCode': 'PAW ENTERPRISES', 'SupplierName': 'PAW ENTERPRISES'}",2018-04-08,2018-04-17,8 days 19:06:20.184000000,15.46,97358c1d-d9ff-4af3-8513-ce250880293d,PAW ENTERPRISES,PAW ENTERPRISES
"{'Guid': '40d1a8cb-4523-419d-b847-2bab964d9e12', 'SupplierCode': 'RQ FLOORS CORP', 'SupplierName': 'RQ FLOORS CORP'}",2018-04-08,2018-05-11,32 days 20:41:45.121000000,3627.0,40d1a8cb-4523-419d-b847-2bab964d9e12,RQ FLOORS CORP,RQ FLOORS CORP
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 20:46:07.288000000,2083.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 22:19:14.973000000,897.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-08,2018-04-10,2 days 00:16:03.674000000,98.21,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-04-08,2018-05-15,36 days 23:10:23.014000000,2828.15,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-04-08,2018-05-15,36 days 23:08:16.225000000,2436.56,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': 'c9fd9a1a-87ad-467c-a900-19ba1e5eb745', 'SupplierCode': 'L&L HARDWOODS, INC.', 'SupplierName': 'L&L HARDWOODS, INC.'}",2018-04-08,2018-09-13,157 days 23:41:48.940000000,481.28,c9fd9a1a-87ad-467c-a900-19ba1e5eb745,"L&L HARDWOODS, INC.","L&L HARDWOODS, INC."
"{'Guid': '97358c1d-d9ff-4af3-8513-ce250880293d', 'SupplierCode': 'PAW ENTERPRISES', 'SupplierName': 'PAW ENTERPRISES'}",2018-04-08,2018-04-30,21 days 20:12:20.445000000,17.05,97358c1d-d9ff-4af3-8513-ce250880293d,PAW ENTERPRISES,PAW ENTERPRISES
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-08,2018-04-11,2 days 06:27:13.239000000,190.21,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '9f09a640-5bf9-435c-ab85-e49db47d014e', 'SupplierCode': 'Artistic Finishes', 'SupplierName': 'Artistic Finishes'}",2018-04-08,2018-04-12,3 days 18:39:53.606000000,218.6,9f09a640-5bf9-435c-ab85-e49db47d014e,Artistic Finishes,Artistic Finishes
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 14:58:32.236000000,4118.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'b05479fc-1008-4470-83de-8ed540ccb4a1', 'SupplierCode': 'Flooring Pro industries, LLC', 'SupplierName': 'Flooring Pro Industries, LLC'}",2018-04-08,2018-04-19,10 days 14:21:52.350000000,2077.46,b05479fc-1008-4470-83de-8ed540ccb4a1,"Flooring Pro industries, LLC","Flooring Pro Industries, LLC"
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 16:33:10.354000000,202.1,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-05-11,32 days 20:12:02.494000000,60.54,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 16:19:31.113000000,1124.8,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-08,2018-04-16,7 days 15:47:45.430000000,2519.8,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '0871166d-a9b7-439c-afdf-3f67c82ba5c4', 'SupplierCode': 'DESIGN HARDWOOD PRODUCTS, INC.', 'SupplierName': 'DESIGN HARDWOOD PRODUCTS, INC.'}",2018-04-08,2018-04-20,11 days 02:22:44.287000000,1953.22,0871166d-a9b7-439c-afdf-3f67c82ba5c4,"DESIGN HARDWOOD PRODUCTS, INC.","DESIGN HARDWOOD PRODUCTS, INC."
"{'Guid': '9f09a640-5bf9-435c-ab85-e49db47d014e', 'SupplierCode': 'Artistic Finishes', 'SupplierName': 'Artistic Finishes'}",2018-04-08,2018-04-25,16 days 15:12:43.971000000,30.19,9f09a640-5bf9-435c-ab85-e49db47d014e,Artistic Finishes,Artistic Finishes
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-08,2018-04-24,15 days 15:48:49.629000000,5887.6,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 15:16:01.914000000,245.6,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 13:39:45.756000000,561.6,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-04-09,2018-04-12,3 days 15:13:40.072000000,457.35,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-09,2018-04-11,2 days 01:18:32.449000000,5961.06,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-09,2018-04-17,8 days 12:51:45.815000000,85.54,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-09,2018-04-17,8 days 12:51:10.189000000,706.79,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-09,2018-04-17,8 days 12:43:34.501000000,1615.52,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 12:59:49.008000000,53.41,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 13:38:15.529000000,1480.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 10:06:28.389000000,813.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-09,2018-04-12,3 days 15:30:13.249000000,41.6,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-24,15 days 11:22:33.568000000,3110.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-09,2018-04-12,3 days 07:24:05.263000000,185.9,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-04-09,2018-04-12,3 days 02:16:07.605000000,390.62,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-04-16,7 days 00:34:56.939000000,2882.88,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-04-09,2018-04-17,8 days 00:07:45.553000000,1546.39,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-04-09,2018-05-03,24 days 05:19:26.201000000,543.32,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': '328e5204-80b2-44bf-8708-9993c1c52957', 'SupplierCode': 'Nature Flooring Industries, Inc.', 'SupplierName': 'Nature Flooring Industries, Inc.'}",2018-04-09,2018-05-17,38 days 03:13:31.085000000,514.37,328e5204-80b2-44bf-8708-9993c1c52957,"Nature Flooring Industries, Inc.","Nature Flooring Industries, Inc."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-09,2018-05-01,22 days 02:51:27.377000000,4258.8,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'f0433f30-c232-44cd-a2b6-690e334d461e', 'SupplierCode': 'Superior Hardwood Flooring', 'SupplierName': 'Superior Hardwood Flooring'}",2018-04-10,2018-05-03,23 days 02:05:47.160000000,1017.0,f0433f30-c232-44cd-a2b6-690e334d461e,Superior Hardwood Flooring,Superior Hardwood Flooring
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-10,2018-04-24,14 days 03:02:32.890000000,932.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-10,2018-04-24,14 days 01:25:17.097000000,1162.8,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-10,2018-04-12,2 days 01:38:26.740000000,250.0,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-10,2018-04-11,0 days 08:20:59.833000000,8.73,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-04-10,2018-04-19,8 days 21:39:15.431000000,175.73,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-04-10,2018-04-23,12 days 18:41:39.755000000,3611.52,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': 'd320ea27-5022-44fe-b03a-7038f3e85d65', 'SupplierCode': 'American OEM', 'SupplierName': 'American OEM'}",2018-04-11,2018-05-14,33 days 02:41:43.414000000,30720.96,d320ea27-5022-44fe-b03a-7038f3e85d65,American OEM,American OEM
"{'Guid': 'e3392871-d37c-4d7b-aa63-fd636e28ba38', 'SupplierCode': 'STARECASING', 'SupplierName': 'STARECASING'}",2018-04-11,2018-05-21,40 days 05:00:45.845000000,418.02,e3392871-d37c-4d7b-aa63-fd636e28ba38,STARECASING,STARECASING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-11,2018-04-17,6 days 04:01:56.429000000,403.0,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-04-11,2018-04-19,8 days 01:26:51.442000000,1593.16,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-04-11,2018-04-19,8 days 01:07:55.916000000,8158.57,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': '3a8746c7-c956-48a9-aec7-b7e10ba64b82', 'SupplierCode': 'Metropolitan Staple Corp.', 'SupplierName': 'Metropolitan Staple Corp.'}",2018-04-11,2018-04-13,2 days 04:12:01.925000000,1445.0,3a8746c7-c956-48a9-aec7-b7e10ba64b82,Metropolitan Staple Corp.,Metropolitan Staple Corp.
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-04-11,2018-06-04,53 days 22:54:05.199000000,1805.76,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-11,2018-04-11,0 days 00:41:59.107000000,462.0,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-04-11,2018-04-16,4 days 21:16:06.259000000,326.42,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-11,2018-04-12,1 days 01:08:12.420000000,66.0,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-04-11,2018-05-15,34 days 01:13:45.078000000,1957.95,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-04-11,2018-04-24,12 days 21:14:57.654000000,2947.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}",2018-04-11,2018-04-19,7 days 21:38:45.197000000,42476.69,7dc14a03-3105-4be8-9424-eb647a6e24e4,"CUMBERLAND LUMBER & MFG. COMPANY, INC.","CUMBERLAND LUMBER & MFG. COMPANY, INC."
