AverageLandPrice,CreatedBy,CreatedOn,DefaultPurchasePrice,DefaultSellPrice,Guid,IsAssembledProduct,IsBatchTracked,IsComponent,IsSellable,IsSerialized,LastModifiedBy,LastModifiedOn,MaxStockAlertLevel,MinStockAlertLevel,NeverDiminishing,Notes,Obsolete,ProductCode,ProductDescription,ProductGroup,SellPriceTier1,SellPriceTier10,SellPriceTier2,SellPriceTier3,SellPriceTier4,SellPriceTier5,SellPriceTier6,SellPriceTier7,SellPriceTier8,SellPriceTier9,Supplier
0.42,jon@iwhardwood.com,/Date(1523191893880)/,0.56,0.89,400998d5-a7f0-41f8-aa37-cfba1d195a88,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631920)/,263.0,63.0,False,"{""BoxQuantity"":300, ""Stock"": ""True""}",False,3MEdg751650,7' x 5/16' 50 Grit Edger Disk,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '0.6900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '0.6900'}","{'Name': 'Premium Contractor', 'Value': '0.6900'}","{'Name': 'Contractor 1', 'Value': '0.7900'}","{'Name': 'Contractor 2', 'Value': '0.7900'}","{'Name': 'Builder', 'Value': '0.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010365230', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
0.4637,jon@iwhardwood.com,/Date(1523191893930)/,0.47000000000000003,0.6900000000000001,0d4bf9d1-8ac9-48e8-a7fe-49081dbf0ace,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631953)/,600.0,100.0,False,"{""BoxQuantity"":300, ""Stock"": ""True""}",False,3MEdg751680,7' x 5/16' 80 Grit Edger Disk,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '0.5900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '0.6900'}","{'Name': 'Premium Contractor', 'Value': '0.6900'}","{'Name': 'Contractor 1', 'Value': '0.6900'}","{'Name': 'Contractor 2', 'Value': '0.7900'}","{'Name': 'Builder', 'Value': '0.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010309100', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
2.2162,jon@iwhardwood.com,/Date(1523191916553)/,2.2800000000000002,3.49,76feb88f-0120-46b7-8a78-fe2a761a8999,False,False,False,True,False,jon@iwhardwood.com,/Date(1564835614301)/,5791.8,2800.0,False,"{""PalletSize"": 827.4, “BoxQuantity”: “19.7 sf/ctn”, “Stock”: “True”}",False,CumRed2#1C,Red Oak #1Common 2.25',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '2.9900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '2.9900'}","{'Name': 'Premium Contractor', 'Value': '3.0900'}","{'Name': 'Contractor 1', 'Value': '3.0900'}","{'Name': 'Contractor 2', 'Value': '3.2900'}","{'Name': 'Builder', 'Value': '3.2900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F2OR1CN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
2.6547,jon@iwhardwood.com,/Date(1523191916883)/,2.6,3.99,514f0f66-6789-4a57-99ac-7e3c4721fe08,False,False,False,True,False,jon@iwhardwood.com,/Date(1564835611627)/,7446.6,3309.6,False,"{""PalletSize"": 827.4, “BoxQuantity”: “19.7 sf/ctn”, “Stock”: “True”}",False,CumRed2Sel,Red Oak Select & Better 2.25',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '3.3900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '3.3900'}","{'Name': 'Premium Contractor', 'Value': '3.4900'}","{'Name': 'Contractor 1', 'Value': '3.5900'}","{'Name': 'Contractor 2', 'Value': '3.7900'}","{'Name': 'Builder', 'Value': '3.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F2ORSBN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
2.1593,jon@iwhardwood.com,/Date(1523191916616)/,2.25,3.49,3788deeb-596c-40f7-89d3-7044d02c603d,False,False,False,True,False,jon@iwhardwood.com,/Date(1564835612973)/,4095.0,2000.0,False,"{""PalletSize"": 819, “BoxQuantity”: “22.75 sf/ctn”, “Stock”: “True”}",False,CumRed3#1C,Red Oak #1Common 3.25',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '2.8900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '2.8900'}","{'Name': 'Premium Contractor', 'Value': '2.9900'}","{'Name': 'Contractor 1', 'Value': '3.0900'}","{'Name': 'Contractor 2', 'Value': '3.2900'}","{'Name': 'Builder', 'Value': '3.2900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F3OR1CN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
2.6557,jon@iwhardwood.com,/Date(1523191917036)/,2.6,3.99,eb65ec1e-0c56-4e09-96fd-43a77b7ef8d9,False,False,False,True,False,jon@iwhardwood.com,/Date(1564835610279)/,6552.0,2900.0,False,"{""PalletSize"": 819, “BoxQuantity”: “22.75 sf/ctn”, “Stock”: “True”}",False,CumRed3Sel,Red Oak Select & Better 3.25',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '3.3900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '3.3900'}","{'Name': 'Premium Contractor', 'Value': '3.4900'}","{'Name': 'Contractor 1', 'Value': '3.5900'}","{'Name': 'Contractor 2', 'Value': '3.7900'}","{'Name': 'Builder', 'Value': '3.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F3ORSBN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
2.6,jon@iwhardwood.com,/Date(1523191916740)/,2.6,3.99,061e66b1-1278-4830-8b25-a579d0ccb48f,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631703)/,817.0,200.0,False,"{""PalletSize"": 817, “BoxQuantity”: “23.34 sf/ctn”, “Stock”: “True”}",False,CumRed4#1C,Red Oak #1 Common 4',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '3.3900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '3.3900'}","{'Name': 'Premium Contractor', 'Value': '3.4900'}","{'Name': 'Contractor 1', 'Value': '3.5900'}","{'Name': 'Contractor 2', 'Value': '3.7900'}","{'Name': 'Builder', 'Value': '3.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': None, 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
3.4777,jon@iwhardwood.com,/Date(1523191917163)/,3.2,4.89,b2f36958-7e9f-41be-9b0d-06884126cb22,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631733)/,817.0,400.0,False,"{""PalletSize"": 817, “BoxQuantity”: “23.34 sf/ctn”, “Stock”: “True”}",False,CumRed4Sel,Red Oak Select & Better 4',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '4.0900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '4.0900'}","{'Name': 'Premium Contractor', 'Value': '4.2900'}","{'Name': 'Contractor 1', 'Value': '4.3900'}","{'Name': 'Contractor 2', 'Value': '4.6900'}","{'Name': 'Builder', 'Value': '4.6900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F4ORSBN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
2.7244,jon@iwhardwood.com,/Date(1523191916803)/,2.65,4.09,534a8f24-0a9c-4912-9995-62ff9718c3bf,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542630700)/,840.0,400.0,False,"{""PalletSize"": 960, “BoxQuantity”: “20 sf/ctn”, “Stock”: “True”}",False,CumRed5#1C,Red Oak #1 Common 5',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '3.3900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '3.3900'}","{'Name': 'Premium Contractor', 'Value': '3.5900'}","{'Name': 'Contractor 1', 'Value': '3.5900'}","{'Name': 'Contractor 2', 'Value': '3.8900'}","{'Name': 'Builder', 'Value': '3.8900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': None, 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
3.3,jon@iwhardwood.com,/Date(1523191917226)/,3.3,5.09,f119d92b-f262-4a63-9b57-0869e650524c,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631276)/,840.0,400.0,False,"{""PalletSize"": 840, “BoxQuantity”: “23.33 sf/ctn”, “Stock”: “True”}",False,CumRed5Sel,Red Oak Select & Better 5',"{'GroupName': 'Unfinished Flooring', 'Guid': 'ec09a760-6f2a-43c3-b16f-7063d0af6360', 'LastModifiedOn': '/Date(1523018614914)/'}","{'Name': 'Premium Retailer', 'Value': '4.2900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '4.2900'}","{'Name': 'Premium Contractor', 'Value': '4.3900'}","{'Name': 'Contractor 1', 'Value': '4.4900'}","{'Name': 'Contractor 2', 'Value': '4.7900'}","{'Name': 'Builder', 'Value': '4.7900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': 'F5ORSBN', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': '7dc14a03-3105-4be8-9424-eb647a6e24e4', 'SupplierCode': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.', 'SupplierName': 'CUMBERLAND LUMBER & MFG. COMPANY, INC.'}"
